masked,answer
н_сл_ждение,наслаждение
н_д_сягаемый,недосягаемый
н_в_лла,новелла
_б_яние,обаяние
_б_тать,обитать
_бн_ружить,обнаружить
_б_няние,обоняние
_б_рона,оборона
_д_леть,одолеть
_з_рной,озорной
_п_кун,опекун
_пт_мизм,оптимизм
_р_нжерея,оранжерея
_рб_та,орбита
_рг_низация,организация
_р_гинальный,оригинальный
_р_ентир,ориентир
_рн_мент,орнамент
_ст_рожный,осторожный
_ф_цер,офицер
_ш_ломить,ошеломить
п_л_садник,палисадник
п_л_тра,палитра
п_н_рама,панорама
п_нц_рь,панцирь
п_р_граф,параграф
п_р_докс,парадокс
п_р_шют,парашют
п_тр_от,патриот
п_йз_ж,пейзаж
п_р_ла,перила
п_р_од,период
п_сс_мизм,пессимизм
п_дл_нный,подлинный
п_др_жание,подражание
п_з_ция,позиция
п_к_й,покой
п_к_ление,поколение
п_л_мика,полемика
п_л_ровать,полировать
п_р_жение,поражение
п_с_титель,посетитель
пр_в_ло,правило
пр_дв_рительный,предварительный
пр_з_нтация,презентация
пр_з_дент,президент
пр_з_диум,президиум
пр__бразование,преобразование
пр__долеть,преодолеть
пр_ц_дент,прецедент
пр_в_легия,привилегия
пр_м_тивный,примитивный
пр__ритет,приоритет
пр_в_нция,провинция
пр_в_кация,провокация
пр_н_цательный,проницательный
р_д_атор,радиатор
р_ц_ональный,рациональный
р__лизм,реализм
р_ж_ссёр,режиссёр
р_з_дент,резидент
р_з_денция,резиденция
р_м_сло,ремесло
р_ст_врация,реставрация
р_ф_рат,реферат
р_ф_рма,реформа
р_ц_нзия,рецензия
р_т_рика,риторика
р_в_сник,ровесник
р_м_нтизм,романтизм
с_л_т,салют
с_т_ра,сатира
св_рл_вый,сварливый
св_д_тель,свидетель
с_з_н,сезон
с_мп_тия,симпатия
с_мпт_м,симптом
с_мф_ния,симфония
с_нхр_нный,синхронный
с_р_нь,сирень
с_ст_ма,система
см_т_ние,смятение
сн_р_жение,снаряжение
с_кр_венный,сокровенный
с_н_т,сонет
с_стр_дание,сострадание
с_ст_зание,состязание
с_ц_альный,социальный
сп_рт_киада,спартакиада
сп_к_йный,спокойный
ст_д_он,стадион
ст_п_ндия,стипендия
стр_х_вка,страховка
стр_мл_ние,стремление
с_в_нир,сувенир
с_в_ренитет,суверенитет
с_м_рки,сумерки
т_л_нт,талант
т__рия,теория
т_рр_тория,территория
т_рж_ство,торжество
тр_д_ция,традиция
тр_мв_й,трамвай
тр_ф_рет,трафарет
тр_в_га,тревога
тр_лл_йбус,троллейбус
тр_стн_к,тростник
тр_т_ар,тротуар
тр_с_на,трясина
_г_щение,угощение
_н_верситет,университет
_н_кальный,уникальный
_н_чтожить,уничтожить
_тр_мбовать,утрамбовать
__звить,уязвить
ф_нт_стика,фантастика
ф_ст_валь,фестиваль
ф_г_ра,фигура
ф_н_нсы,финансы
ф__летовый,фиолетовый
фр_гм_нт,фрагмент
фр_з_ология,фразеология
х__с,хаос
х_р_ктер,характер
ц_м_нт,цемент
ц_в_лизация,цивилизация
ц_кл_н,циклон
ц_л_ндр,цилиндр
ц_ст_рна,цистерна
ц_т_та,цитата
ч_л_век,человек
ч_мп_он,чемпион
ш_р_нга,шеренга
ш_к_лад,шоколад
ш_сс_,шоссе
ш_ф_р,шофёр
_в_люция,эволюция
_к_номика,экономика
_ксп_римент,эксперимент
_ксп_нат,экспонат
_кстр_мальный,экстремальный
_л_ктроника,электроника
_нц_клопедия,энциклопедия
_ст_када,эстакада
н_ в_рост,на вырост
_бж_г,обжиг
_тж_г,отжиг
_тр_сль,отрасль
пл_в_ц,пловец
пл_вч_ха,пловчиха
пл_в_н,плывун
п_др_стковый,подростковый
п_л_г,полог
п_р_вну,поровну
р_вн_на,равнина
р_зж_г,розжиг
Р_ст_слав,Ростислав
Р_ст_в,Ростов
р_ст_вщик,ростовщик
р_ст_к,росток
ск_ч_,скачи
ск_чк_образно,скачкообразно
ск_ч_к,скачок
ск_ч_,скачу
сл_г_вой,слоговой
с_ч_тание,сочетание
с_ч_тать,сочетать
_р_вень,уровень
_тв_рь,утварь
ч_т_,чета
